threshold,far,frr
0.0,0.0,1.0
0.0010000000474974513,0.0,1.0
0.0020000000949949026,0.0,1.0
0.003000000026077032,0.0,1.0
0.004000000189989805,0.0,1.0
0.004999999888241291,0.0,1.0
0.006000000052154064,0.0,1.0
0.007000000216066837,0.0,1.0
0.00800000037997961,0.0,1.0
0.008999999612569809,0.0,1.0
0.009999999776482582,0.0,1.0
0.010999999940395355,0.0,1.0
0.012000000104308128,0.0,1.0
0.013000000268220901,0.0,1.0
0.014000000432133675,0.0,1.0
0.014999999664723873,0.0,1.0
0.01600000075995922,0.0,1.0
0.017000000923871994,0.0,1.0
0.017999999225139618,0.0,1.0
0.01899999938905239,0.0,1.0
0.019999999552965164,0.0,1.0
0.020999999716877937,0.0,1.0
0.02199999988079071,0.0,1.0
0.023000000044703484,0.0,1.0
0.024000000208616257,0.0,1.0
0.02500000037252903,0.0,1.0
0.026000000536441803,0.0,1.0
0.027000000700354576,0.0,1.0
0.02800000086426735,0.0,1.0
0.028999999165534973,0.0,1.0
0.029999999329447746,0.0,1.0
0.03099999949336052,0.0,1.0
0.03200000151991844,0.0,1.0
0.032999999821186066,0.0,1.0
0.03400000184774399,0.0,1.0
0.03500000014901161,0.0,1.0
0.035999998450279236,0.0,1.0
0.03700000047683716,0.0,1.0
0.03799999877810478,0.0,1.0
0.039000000804662704,0.0,1.0
0.03999999910593033,0.0,1.0
0.04100000113248825,0.0,1.0
0.041999999433755875,0.0,1.0
0.0430000014603138,0.0,1.0
0.04399999976158142,0.0,1.0
0.04500000178813934,0.0,1.0
0.04600000008940697,0.0,1.0
0.04699999839067459,0.0,1.0
0.04800000041723251,0.0,1.0
0.04899999871850014,0.0,1.0
0.05000000074505806,0.0,1.0
0.050999999046325684,0.0,1.0
0.052000001072883606,0.0,1.0
0.05299999937415123,0.0,1.0
0.05400000140070915,0.0,1.0
0.054999999701976776,0.0,1.0
0.0560000017285347,0.0,1.0
0.05700000002980232,0.0,1.0
0.057999998331069946,0.0,1.0
0.05900000035762787,0.0,1.0
0.05999999865889549,0.0,1.0
